Temperature Farenheit,Latitude,Cloudiness,Wind Speed,Humidity
67.92,-2.55,64,4.29,92
1.4,53.05,48,13.42,77
74.04,-14.66,80,3.29,45
72.29,-0.46,76,1.61,96
-17.94,50.23,8,2.62,78
88.89,-20.74,0,11.12,20
81.56,-10.16,92,4.97,100
56.09,-20.37,0,4.52,66
48.56,29.94,90,10.29,73
75.66,16.06,80,1.16,61
33.08,41.28,20,10.29,53
42.8,48.48,90,20.8,87
35.6,62.23,48,18.34,59
-11.1,58.18,92,2.39,73
74.0,-9.65,44,3.18,100
62.6,38.47,40,20.8,72
46.4,52.96,20,13.87,81
75.2,19.45,0,3.36,57
43.71,41.25,56,4.18,93
10.55,59.33,68,3.18,74
-22.98,65.95,68,3.62,64
60.98,34.88,90,10.29,93
52.98,22.48,92,1.72,100
69.99,-22.09,12,7.43,71
35.6,38.18,20,4.7,64
12.26,42.49,20,3.74,65
87.72,-22.63,0,6.64,43
58.07,5.87,20,2.39,63
21.2,44.65,20,12.75,67
69.41,-35.1,8,12.8,60
79.67,-8.9,92,8.77,86
70.53,4.85,12,2.17,100
6.27,65.42,24,8.99,100
84.2,15.86,75,10.29,70
37.59,47.65,56,11.34,94
30.2,54.78,75,11.41,74
67.25,12.23,0,1.61,74
65.27,-16.25,92,10.11,99
69.8,-35.22,88,6.93,77
-6.42,40.29,8,3.96,49
77.19,-0.41,80,4.29,94
73.1,5.36,56,1.95,86
73.64,27.97,0,4.41,53
66.71,33.61,0,7.2,36
57.92,36.62,1,3.36,71
35.6,63.98,75,21.92,100
86.0,16.45,20,2.24,66
86.0,4.71,75,4.7,55
83.49,-2.67,64,11.23,100
71.61,16.95,92,0.6,97
75.03,-7.53,76,3.18,94
33.8,64.68,64,14.99,98
56.13,-18.06,0,3.74,45
80.6,-23.87,40,11.41,88
15.8,64.17,75,12.75,78
75.57,-17.34,92,21.3,100
55.4,33.3,0,3.36,100
-11.91,53.99,0,5.19,74
44.6,27.63,20,2.24,93
59.0,34.81,40,3.36,76
59.0,18.22,0,0.94,82
86.0,15.74,40,11.01,66
80.16,9.96,44,10.11,100
-19.02,47.47,0,0.72,25
19.4,47.66,40,21.92,79
62.6,-13.74,20,8.05,51
72.87,-25.17,20,3.4,92
48.2,53.39,75,8.05,87
75.57,-3.55,100,2.62,100
50.9,30.23,90,14.99,74
33.98,41.08,1,5.82,49
28.86,45.23,64,22.3,100
37.01,63.44,68,19.84,100
84.2,10.47,20,5.82,70
42.8,34.68,75,9.17,75
27.87,64.25,0,9.78,100
72.24,10.41,0,10.0,30
51.8,40.62,90,1.12,100
24.8,54.22,90,6.71,92
78.8,-20.01,40,8.05,88
91.4,10.15,20,11.41,46
66.2,-32.72,40,3.36,93
1.77,60.87,36,3.29,60
75.2,-22.28,0,3.36,60
73.19,9.71,0,7.87,36
41.0,62.58,40,13.87,100
53.06,37.12,90,4.18,93
29.67,44.51,12,7.09,100
43.31,52.74,92,20.85,97
69.95,1.23,56,5.19,100
-3.77,42.12,32,3.96,59
74.76,-8.45,8,2.62,100
77.0,-17.83,75,14.99,88
30.2,69.65,75,6.93,86
60.27,-34.72,8,13.24,100
82.4,-38.95,20,9.17,23
39.21,33.37,68,9.22,100
51.8,44.83,40,6.93,87
73.86,26.88,0,11.12,51
79.89,-6.32,0,2.51,85
32.0,61.69,90,10.29,94
32.37,43.18,48,7.76,100
78.8,-17.88,40,5.41,88
73.04,33.83,1,6.93,40
33.8,42.87,20,12.75,68
48.02,55.34,90,28.86,85
29.09,43.32,32,26.55,100
69.05,16.12,80,1.39,97
71.12,-8.93,64,1.16,91
77.42,12.22,44,4.41,100
69.05,18.07,0,3.96,100
52.08,26.0,0,2.62,81
46.94,39.15,40,2.51,83
64.68,18.73,36,5.75,90
77.0,-8.71,0,2.24,100
54.42,-19.16,0,2.62,86
46.4,48.6,40,14.99,87
80.75,6.37,8,8.77,100
-14.61,66.94,0,2.73,100
74.0,-7.37,92,2.73,99
77.0,3.17,75,3.36,100
35.6,62.49,90,3.4,100
90.74,-29.41,0,2.28,30
-22.4,62.16,36,5.53,66
80.61,21.46,44,23.31,100
8.39,59.58,0,15.48,100
-0.12,69.49,80,8.77,75
-22.04,66.42,36,3.4,62
82.4,-7.47,20,12.75,74
38.49,40.74,0,2.73,84
89.6,17.52,75,5.82,62
78.98,21.39,20,6.93,66
34.04,60.71,88,9.89,95
15.8,45.83,75,12.75,52
87.59,-14.8,24,3.62,77
83.27,5.67,0,2.62,100
12.71,29.28,0,2.51,93
10.14,36.18,20,4.97,68
62.6,-4.58,0,14.99,290
48.21,28.17,0,2.39,51
82.4,12.16,40,18.34,65
71.06,30.33,90,9.17,86
60.8,39.29,75,16.11,63
35.6,57.82,76,11.41,93
6.59,38.3,0,2.95,57
42.8,54.11,75,14.99,87
-16.68,55.93,0,2.06,63
30.2,64.25,75,2.28,100
76.47,-30.17,80,9.44,57
29.27,61.57,92,11.34,91
53.06,35.62,1,3.62,60
87.8,19.55,20,18.34,45
85.34,-9.17,20,2.28,73
75.93,-2.9,64,4.18,94
12.21,34.03,76,0.72,86
75.62,22.57,0,4.07,100
54.06,26.65,0,3.62,87
37.4,63.83,90,4.7,100
48.2,46.42,75,14.99,87
6.72,50.56,8,4.74,86
86.0,16.38,40,8.05,48
63.69,5.2,36,2.62,59
73.4,-18.17,40,1.5,94
-12.95,60.35,80,6.53,79
35.06,38.98,90,3.36,56
12.66,66.56,76,12.91,91
74.27,-7.95,92,3.18,100
93.2,-15.46,40,3.36,44
82.82,-16.52,88,19.28,100
-3.0,30.57,20,0.94,100
76.47,6.12,92,3.51,100
70.31,-28.29,44,6.2,39
64.1,14.29,0,2.28,88
59.64,12.06,8,2.17,92
58.34,22.93,48,1.72,98
30.92,44.56,90,8.05,79
68.0,-28.0,40,1.12,100
78.72,-7.36,64,10.11,70
46.04,36.31,1,5.82,48
78.41,-0.91,32,2.28,100
41.6,53.11,92,13.02,98
81.87,-1.77,32,1.72,83
60.18,-2.89,92,1.61,100
35.06,42.08,75,9.17,46
35.84,41.42,0,2.39,83
84.2,-5.81,40,14.99,70
7.85,61.92,0,16.82,100
78.27,-9.43,48,2.73,97
86.37,-20.28,68,3.62,48
33.98,41.12,1,11.41,60
33.8,66.2,75,3.36,100
51.8,49.65,92,11.41,93
72.92,-5.12,44,2.95,100
71.6,-18.48,0,12.75,60
73.82,7.42,44,5.97,100
57.2,38.7,20,9.17,87
64.4,32.22,1,6.93,44
-22.08,57.82,56,2.06,60
23.28,57.75,88,6.2,95
25.94,65.85,80,8.66,75
75.2,17.01,0,4.7,69
75.2,-23.68,40,17.22,57
84.2,18.42,20,9.17,62
60.54,20.2,0,11.01,34
26.96,44.9,90,5.82,96
78.54,-31.62,0,4.18,68
75.21,10.89,0,7.31,32
60.72,18.74,0,12.24,35
83.36,3.78,12,9.22,100
56.67,24.63,0,3.4,62
24.8,47.82,90,18.34,68
91.86,-26.79,20,8.66,48
47.72,37.17,0,6.98,42
42.8,50.67,76,18.34,81
78.8,-32.03,0,11.41,57
51.08,30.3,1,10.29,54
53.16,21.7,88,3.4,100
82.46,4.42,20,9.66,100
